Experiment,Best Fitness,Mean Fitness,Median Fitness,Worst Fitness,Standard Deviation,Experiment Time,Number of Unique Individuals,Number of Feasible Individuals,Number of Infeasible Individuals,Best Individual,Constraints
68,5916.084378639064,5922.715876864356,5916.084378639064,7629.677649508199,73.05643366428347,30.19367790222168,11,998,2,[  0.906095     0.46733336  46.93391196 124.69744643],"[-0.0002705031372022271, -0.019583835731222077, -1.4762966078706086, -115.30255357173844, -5916.084378639064, -0.8435950040319375, -0.4048333558626094, -5.281404995968062, -5.72016664413739, -153.06608803654223, -75.30255357173844, -36.93391196345779, -114.69744642826156]"
57,5916.165505291193,5919.269268435981,5916.165505291193,7080.8884868158675,45.28387858669834,31.090229272842407,10,999,1,[  0.90604073   0.45812268  46.93317599 124.70445144],"[-0.00023043767576591545, -0.010380180054665289, -2.5159098103176802, -115.29554855839152, -5916.165505291193, -0.8435407343378875, -0.3956226790265119, -5.281459265662113, -5.729377320973488, -153.06682400714396, -75.29554855839152, -36.933175992856036, -114.70445144160848]"
81,5916.257891893177,5920.506737874823,5916.308292484085,7909.370092232914,70.35823026872971,27.606727361679077,14,998,2,[  0.90592953   0.46393088  46.93302926 124.70857154],"[-0.00012206774790424202, -0.016189779157320727, -21.569202724145725, -115.29142845871486, -5916.257891893177, -0.8434295323714416, -0.40143087825102775, -5.281570467628558, -5.723569121748972, -153.06697074489443, -75.29142845871486, -36.93302925510556, -114.70857154128514]"
69,5916.264284550876,5924.155919292345,5916.264284550876,8339.021665248109,104.82151192553587,36.76265525817871,14,997,3,[  0.90582193   0.46404353  46.93215838 124.71365883],"[-3.1275161483601543e-05, -0.016310734983935316, -0.6401069667190313, -115.28634116594746, -5916.264284550876, -0.8433219318308611, -0.4015435258971924, -5.281678068169139, -5.723456474102807, -153.06784162334833, -75.28634116594746, -36.932158376651685, -114.71365883405254]"
85,5916.57858266881,5929.414765450884,5916.57858266881,15443.576025602762,304.4458843489188,77.55198240280151,18,999,1,[  0.90580191   0.46684468  46.929169   124.74157055],"[-6.894540178925546e-05, -0.019140409834412953, -1.0861250383313745, -115.25842944679239, -5916.57858266881, -0.8433019070574915, -0.4043446820725165, -5.281698092942508, -5.720655317927483, -153.07083100229522, -75.25842944679239, -36.92916899770478, -114.74157055320761]"
96,5916.876398208239,5939.6917155998735,5916.876398208239,11983.335308155258,284.62559483005344,29.019441843032837,23,996,4,[  0.90585445   0.4635756   46.92634189 124.76799034],"[-0.000176055606255221, -0.015898294542509017, -1.6393725499510765, -115.2320096617681, -5916.876398208239, -0.8433544541332075, -0.4010755961978004, -5.281645545866793, -5.7239244038022, -153.0736581074118, -75.2320096617681, -36.9263418925882, -114.7679903382319]"
20,5917.037132217749,5922.26763732039,5917.037132217749,7310.503003860267,55.94995543305402,39.717018842697144,8,999,1,[  0.90571971   0.46674967  46.92478048 124.78244904],"[-7.145092126914498e-05, -0.01908726100782132, -1.013013016898185, -115.21755096020338, -5917.037132217749, -0.8432197142020034, -0.40424966679529306, -5.281780285797996, -5.720750333204707, -153.07521951913293, -75.21755096020338, -36.92478048086706, -114.78244903979662]"
9,5918.01640556695,5925.759309209076,5918.01640556695,7630.257420984377,85.66352618807827,28.070186614990234,13,999,1,[  0.90551737   0.46679601  46.91538973 124.86987282],"[-5.0344528068957395e-05, -0.01922319446351417, -0.2829569785390049, -115.13012718039181, -5918.01640556695, -0.8430173662328039, -0.40429601244606184, -5.281982633767196, -5.7207039875539385, -153.08461027436607, -75.13012718039181, -36.91538972563393, -114.86987281960819]"
97,5918.055737521232,5929.5032786878255,5918.055737521232,11720.416285117572,201.8752123952852,30.359297275543213,19,997,3,[  0.90560818   0.45147412  46.91510994 124.87284093],"[-0.00014655591821088887, -0.00390397043757984, -2.769759261747822, -115.12715906677006, -5918.055737521232, -0.8431081778441359, -0.388974119306664, -5.281891822155864, -5.736025880693336, -153.08489005565156, -75.12715906677006, -36.915109944348444, -114.87284093322994]"
98,5918.470388201005,5921.390892874181,5918.470388201005,6407.591663118695,29.063806618645636,36.33615183830261,16,1000,0,[  0.90554706   0.46461776  46.91105275 124.9103188 ],"[-0.00016374166351373898, -0.017086317513967275, -0.32914840476587415, -115.0896812033208, -5918.470388201005, -0.8430470596914383, -0.4021177607256979, -5.281952940308562, -5.722882239274302, -153.08894725243914, -75.0896812033208, -36.91105274756086, -114.9103187966792]"
76,5918.826045777892,5922.747893857699,5918.826045777892,6541.570703986728,37.27377161246951,34.23145127296448,18,1000,0,[  0.9053466    0.46559348  46.9076856  124.94183844],"[-2.826802236333137e-05, -0.01809416265578112, -1.1362608887720853, -115.05816155531436, -5918.826045777892, -0.8428466001958345, -0.4030934833259839, -5.282153399804166, -5.721906516674016, -153.09231439515693, -75.05816155531436, -36.90768560484306, -114.94183844468564]"
62,5919.761996904831,5926.359856059958,5919.761996904831,7386.363826352206,71.70441626727018,28.479740858078003,12,997,3,[  0.90523976   0.45419701  46.89887082 125.02454433],"[-9.155654985926187e-05, -0.006781783797617513, -4.379098220728338, -114.97545566725967, -5919.761996904831, -0.8427397633480361, -0.3916970114066645, -5.282260236651964, -5.733302988593335, -153.10112918144162, -74.97545566725967, -36.898870818558386, -115.02454433274033]"
34,5919.855862098241,5926.594072218957,5919.855862098241,8358.970168229283,110.19390213808792,32.81226301193237,9,998,2,[  0.90566105   0.45663169  46.89781174 125.03381819],"[-0.0005332865385786478, -0.009226562034217178, -0.16871811030432582, -114.96618180803532, -5919.855862098241, -0.8431610532141791, -0.3941316860800839, -5.281838946785821, -5.730868313919916, -153.10218825515022, -74.96618180803532, -36.89781174484976, -115.03381819196468]"
40,5919.931685351722,5922.3404259703275,5919.931685351722,6653.177001596073,31.740219411733793,28.964366912841797,21,998,2,[  0.90515154   0.4637958   46.89709286 125.04054635],"[-3.764830886676673e-05, -0.016397533810655673, -0.3018839282449335, -114.95945365135638, -5919.931685351722, -0.8426515405324951, -0.4012957997077238, -5.282348459467505, -5.723704200292277, -153.1029071386721, -74.95945365135638, -36.89709286132789, -115.04054634864362]"
63,5921.531775369949,5931.387791845928,5921.531775369949,9341.115918210831,134.67908499170005,41.00692439079285,23,999,1,[  0.90494356   0.45226118  46.8818272  125.18309911],"[-0.00012429385179246744, -0.005008545839782941, -0.47825402300804853, -114.81690089117023, -5921.531775369949, -0.8424435587713692, -0.3897611773078017, -5.282556441228631, -5.735238822692199, -153.11817280209448, -74.81690089117023, -36.88182719790553, -115.18309910882977]"
78,5921.615004061719,5947.481020858078,5921.615004061719,17250.651767810577,411.5594489710678,34.61567449569702,18,1000,0,[  0.90526282   0.45901487  46.88111638 125.1900506 ],"[-0.00045727734057909863, -0.011769022934556783, -2.633136628428474, -114.80994940285274, -5921.615004061719, -0.8427628235372544, -0.3965148732307372, -5.282237176462745, -5.728485126769263, -153.11888361675258, -74.80994940285274, -36.881116383247424, -115.19005059714726]"
6,5922.137136075238,5944.120423888334,5922.137136075238,10174.880397477353,224.38847264685916,85.82606077194214,23,996,4,[  0.9047523    0.45541656  46.87607267 125.23693271],"[-4.410237342544754e-05, -0.008218827322233946, -1.0009852240327746, -114.76306728659743, -5922.137136075238, -0.8422523049250037, -0.3929165606042057, -5.282747695074996, -5.732083439395795, -153.12392732893377, -74.76306728659743, -36.876072671066225, -115.23693271340257]"
10,5922.747919822922,5954.424021754817,5922.747919822922,19295.91077503425,522.2581988343928,32.77107906341553,15,996,4,[  0.90467832   0.46028908  46.87022425 125.29149578],"[-8.299302496128647e-05, -0.013147136547695837, -0.3844903549179435, -114.70850421851817, -5922.747919822922, -0.8421783211395475, -0.3977890759369783, -5.2828216788604525, -5.727210924063022, -153.12977574535824, -74.70850421851817, -36.87022425464177, -115.29149578148183]"
82,5924.607551080069,5960.859688572412,5924.607551080069,10841.76485630148,313.5706509631679,36.756736040115356,32,997,3,[  0.90426751   0.46691502  46.85252532 125.45708492],"[-1.3767680828724593e-05, -0.01994192745326301, -0.9977557687088847, -114.54291507613469, -5924.607551080069, -0.841767506310066, -0.4044150189829482, -5.283232493689934, -5.720584981017052, -153.14747468242294, -74.54291507613469, -36.85252531757706, -115.45708492386531]"
29,5926.223495874138,5952.410477116326,5926.223495874138,16309.247074885867,438.70268971533176,31.46214270591736,15,999,1,[  0.90395992   0.45046425  46.83710632 125.60127417],"[-3.7648959403391302e-06, -0.003638258682966966, -0.15184246259741485, -114.39872582656747, -5926.223495874138, -0.8414599169455242, -0.3879642530121395, -5.283540083054476, -5.737035746987861, -153.16289367618737, -74.39872582656747, -36.837106323812634, -115.60127417343253]"
21,5929.443609996493,5963.871777009405,5929.443609996493,15668.36386835232,417.27972255737745,33.36885404586792,23,998,2,[  0.90338517   0.45014424  46.80662309 125.88746156],"[-1.7341709756313328e-05, -0.003609057609785804, -3.7570912239607424, -114.11253843617769, -5929.443609996493, -0.8408851672791596, -0.3876442418549727, -5.2841148327208405, -5.737355758145028, -153.19337691350242, -74.11253843617769, -36.80662308649758, -115.88746156382231]"
89,5939.854893371289,5952.276521686958,5939.854893371289,13279.05767635979,262.08900699255355,101.57456493377686,11,1000,0,[  0.90154838   0.44737664  46.7078203  126.81611832],"[-8.744822937356567e-05, -0.0017840356021346926, -0.0343056907877326, -113.18388167781032, -5939.854893371289, -0.8390483799241678, -0.38487664121707443, -5.285951620075832, -5.740123358782926, -153.29217970493295, -73.18388167781032, -36.70782029506706, -116.81611832218968]"
31,6049.812011763398,6064.093966427548,6049.812011763398,10701.454233430166,177.69682783376228,32.63835525512695,23,997,3,[  0.95788036   0.4687333   49.12496506 105.44282894],"[-0.009768535425029867, -8.113112630592223e-05, -0.443465244024992, -134.55717106424817, -6049.812011763398, -0.8953803610736142, -0.4062332977940517, -5.229619638926386, -5.718766702205948, -150.87503494048786, -94.55717106424817, -39.124965059512135, -95.44282893575183]"
59,6049.888477643957,6052.215761036858,6049.888477643957,6586.250087439224,27.712535078209978,27.655654907226562,15,997,3,[  0.95706507   0.46871898  49.12422878 105.44889884],"[-0.008967456937134854, -7.383928965160047e-05, -0.170221250038594, -134.55110115811303, -6049.888477643957, -0.8945650724280626, -0.406218981869105, -5.230434927571937, -5.718781018130895, -150.87577121808664, -94.55110115811303, -39.12422878191335, -95.44889884188697]"
60,6050.2353908016385,6056.641676880276,6050.2896325815955,9001.133345134676,110.08706036114044,30.030725717544556,19,999,1,[  0.95385804   0.46864898  49.12279593 105.46701162],"[-0.0057880817727470335, -1.7507683217454773e-05, -47.394626177381724, -134.5329883832383, -6050.2353908016385, -0.8913580431788747, -0.4061489808342256, -5.233641956821125, -5.718851019165775, -150.87720407222136, -94.53298838323829, -39.12279592777863, -95.46701161676171]"
61,6050.30476786542,6053.354798041245,6050.30476786542,7849.024366475707,59.314646577249654,31.750608682632446,12,1000,0,[  0.95332048   0.46867241  49.12028114 105.48164638],"[-0.005299051844544378, -6.49278066063852e-05, -0.21462917956523597, -134.51835362123632, -6050.30476786542, -0.8908204779154525, -0.4061724099162677, -5.234179522084547, -5.718827590083732, -150.87971885642963, -94.51835362123632, -39.12028114357037, -95.48164637876368]"
33,6050.571392846123,6058.025582186999,6050.571392846123,8211.23591469865,87.7456087297228,33.176753282547,19,999,1,[  0.96307795   0.46858554  49.11778895 105.50244374],"[-0.015104621772302096, -1.8301451801816526e-06, -1.1522609214298427, -134.49755625586283, -6050.571392846123, -0.9005779484814652, -0.406085536715409, -5.224422051518535, -5.718914463284591, -150.8822110513387, -94.49755625586285, -39.1177889486613, -95.50244374413715]"
51,6050.915118820512,6077.263928429395,6050.915118820512,14908.583181482063,336.95494010435516,35.49612236022949,22,997,3,[  0.96646305   0.46858418  49.11466885 105.52879892],"[-0.018549942096023897, -3.0239681960086973e-05, -4.707242833217606, -134.47120107698416, -6050.915118820512, -0.9039630509085569, -0.40608418051468365, -5.2210369490914434, -5.718915819485316, -150.8853311496097, -94.47120107698416, -39.11466885039031, -95.52879892301584]"
13,6054.053625209314,6057.932953920551,6054.053625209314,7557.200489504338,55.958637476125375,31.90459132194519,12,998,2,[  0.95041334   0.46850414  49.08475042 105.77663678],"[-0.0030776555909659553, -0.000235621730562241, -0.21789055946283042, -134.22336322121117, -6054.053625209314, -0.8879133387016067, -0.4060041407396562, -5.2370866612983935, -5.718995859260344, -150.91524957975955, -94.22336322121119, -39.084750420240454, -95.77663677878881]"
37,6054.2150867466935,6056.069452118775,6054.2150867466935,6795.858915650182,28.771306538775743,30.516570568084717,14,999,1,[  0.96739664   0.46829218  49.08327615 105.78907191],"[-0.020089412186798716, -3.772050669381688e-05, -1.6073127298150212, -134.21092808611857, -6054.2150867466935, -0.9048966419526182, -0.40579217501269993, -5.220103358047382, -5.7192078249873, -150.9167238463306, -94.21092808611857, -39.0832761536694, -95.78907191388143]"
26,6054.42757859724,6061.300330777692,6054.42757859724,8285.337256689152,84.13634470902564,31.47243905067444,15,999,1,[  0.96544686   0.46833032  49.0812024  105.80609911],"[-0.018179656604794814, -9.565083915619166e-05, -0.034338172525167465, -134.1939008923652, -6054.42757859724, -0.9029468629365566, -0.40583032174097, -5.222053137063443, -5.71916967825903, -150.9187975993906, -94.19390089236519, -39.08120240060941, -95.80609910763481]"
2,6054.60965066475,6061.912618079561,6054.60965066475,9534.611953042946,115.37595723614132,27.655059814453125,18,996,4,[  0.95902398   0.46827971  49.0794842  105.82039914],"[-0.011789936755808639, -6.143070798897421e-05, -0.17506440519355237, -134.17960085863837, -6054.60965066475, -0.8965239817398613, -0.4057797099384481, -5.228476018260139, -5.719220290061552, -150.9205158039351, -94.17960085863837, -39.0794841960649, -95.82039914136163]"
79,6057.482678990746,6062.051259867317,6057.482678990746,7661.859037303745,63.66202712282134,29.311134099960327,10,998,2,[  0.96009906   0.46807183  49.05230297 106.04648978],"[-0.013389609226320709, -0.00011286363793949761, -0.15248806145973504, -133.9535102227991, -6057.482678990746, -0.8975990565535158, -0.40557183397480173, -5.227400943446484, -5.719428166025199, -150.947697029679, -93.95351022279911, -39.05230297032099, -96.04648977720089]"
38,6062.763643496418,6071.285738780088,6062.763643496418,8197.591189135332,103.97588497868722,28.616245985031128,12,999,1,[  0.96289975   0.46749433  49.00250772 106.46174217],"[-0.017151354290656284, -1.0410365229363006e-05, -1.9275334202684462, -133.53825782745278, -6062.763643496418, -0.9003997533261537, -0.4049943340335529, -5.224600246673846, -5.720005665966447, -150.9974922779535, -93.53825782745278, -39.002507722046495, -96.46174217254722]"
93,6221.773159702177,6226.569447476987,6221.773159702177,7293.228971669871,55.364661542525,29.99515199661255,13,999,1,[ 0.96840423  0.52265038 50.17477448 96.96476905],"[-3.108400638018871e-05, -0.04398303621014188, -1.5599282919429243, -143.0352309488102, -6221.773159702177, -0.9059042314624356, -0.4601503847454148, -5.2190957685375645, -5.664849615254585, -149.82522552041164, -103.03523094881021, -40.17477447958836, -86.96476905118979]"
22,6223.205370461103,6225.301000819966,6223.205370461103,6927.727750474743,30.346425233767775,28.095829010009766,9,998,2,[ 0.96807481  0.48540986 50.15860928 97.09177772],"[-1.3650175778479046e-05, -0.0068967318168559055, -0.11355882207863033, -142.9082222751772, -6223.205370461103, -0.905574809218457, -0.42290986431774463, -5.219425190781543, -5.702090135682256, -149.84139072317728, -102.90822227517718, -40.158609276822716, -87.09177772482282]"
100,6223.4988756300345,6227.066675174049,6223.4988756300345,7295.667735341229,50.199562156973315,33.573487758636475,16,999,1,[ 0.96811465  0.51933746 50.15531243 97.11773216],"[-0.00011712338125036137, -0.040855776539767574, -0.1258949525654316, -142.8822678436091, -6223.4988756300345, -0.9056146533366033, -0.4568374571498228, -5.219385346663397, -5.668162542850177, -149.84468756708017, -102.88226784360909, -40.155312432919835, -87.11773215639091]"
92,6227.022736884832,6241.134042218045,6227.022736884832,16960.411207273057,342.70733209325317,27.941535711288452,14,999,1,[ 0.96726009  0.49249398 50.1158162  97.42910146],"[-2.4841695699384658e-05, -0.014389095484081627, -1.094008815009147, -142.5708985388813, -6227.022736884832, -0.9047600943303562, -0.42999398201955447, -5.220239905669644, -5.695006017980446, -149.88418380131313, -102.57089853888128, -40.11581619868688, -87.42910146111872]"
8,6233.3381967443365,6248.231861437378,6234.519421554939,14067.349789459135,259.11541375495796,29.507734060287476,20,998,2,[ 0.96600818  0.52971622 50.05097547 97.9576396 ],"[-2.4351547321277422e-05, -0.0522299173580848, -128.88717007962987, -142.0423603983191, -6233.3381967443365, -0.9035081782086379, -0.46721622338652835, -5.221491821791362, -5.6577837766134715, -149.9490245253204, -102.04236039831908, -40.05097547467962, -87.95763960168092]"
75,6267.571877379157,6274.261446035509,6267.571877379157,8332.81203980293,79.10940719604461,31.173656463623047,10,999,1,[ 1.03106217  0.52384291 53.41722993 73.35181235],"[-0.00010962827255434071, -0.01424253175446677, -0.45939851738512516, -166.6481876543761, -6267.571877379157, -0.9685621659073702, -0.4613429052796555, -5.15643783409263, -5.663657094720344, -146.58277007073494, -126.64818765437612, -43.41722992926507, -63.351812345623884]"
17,6268.471019489634,6272.829180246954,6268.471019489634,7605.402221661683,53.40752341712936,33.41003227233887,17,997,3,[ 1.03084075  0.52667195 53.4066673  73.42306588],"[-9.206993238941585e-05, -0.01717234544445756, -0.2542161284945905, -166.5769341236109, -6268.471019489634, -0.9683407487327966, -0.4641719514421717, -5.156659251267204, -5.660828048557828, -146.5933327046421, -126.57693412361088, -43.406667295357884, -63.42306587638912]"
83,6269.223427304237,6277.382619572291,6269.223427304237,7971.3546569611335,87.05230912722773,29.203155040740967,21,996,4,[ 1.03116558  0.51821298 53.39788324 73.48246512],"[-0.0005864312060757104, -0.008797176905981585, -1.1389372604899108, -166.5175348787012, -6269.223427304237, -0.968665577690663, -0.45571298299214535, -5.156334422309337, -5.669287017007854, -146.60211676245663, -126.51753487870121, -43.397883237543375, -63.48246512129879]"
49,6269.234552511124,6273.709290896679,6269.234622001365,7606.573522167752,58.7930901112139,30.19642663002014,13,1000,0,[ 1.03072827  0.51231447 53.39771599 73.48350827],"[-0.00015234803072838865, -0.0029002571313252457, -0.3674174144398421, -166.51649172605127, -6269.234552511124, -0.9682282666984463, -0.44981446770593814, -5.156771733301554, -5.675185532294062, -146.602284006854, -126.51649172605127, -43.39771599314601, -63.48350827394873]"
46,6274.257852936202,6278.974284174819,6274.257852936202,8419.881324359354,77.76606125918819,28.130542993545532,8,1000,0,[ 1.02993847  0.51056255 53.33889979 73.88119457],"[-0.0004977012465923192, -0.001709443449286363, -0.4899470373056829, -166.11880543293614, -6274.257852936202, -0.9674384671058687, -0.4480625474025245, -5.157561532894132, -5.676937452597476, -146.66110021454526, -126.11880543293616, -43.338899785454736, -63.881194567063844]"
64,6380.1086064319425,6382.701402214141,6380.1086064319425,7322.279010806002,39.03869114856353,33.653462409973145,10,1000,0,[ 1.07831901  0.53115593 55.67360946 58.86193068],"[-0.0038183468482355654, -2.9691244398999395e-05, -0.538677804172039, -181.1380693186984, -6380.1086064319425, -1.0158190093557424, -0.4686559254579541, -5.109180990644258, -5.656344074542046, -144.3263905436525, -141.1380693186984, -45.6736094563475, -48.86193068130159]"
50,6380.581828094358,6385.391681719317,6380.581828094358,7657.216781145162,61.4576972358045,29.97961950302124,10,999,1,[ 1.09355237  0.53114506 55.66818055 58.89519675],"[-0.019156481022086114, -7.062246297073749e-05, -1.1913126492872834, -181.10480325420025, -6380.581828094358, -1.0310523656770716, -0.46864506492973557, -5.093947634322928, -5.656354935070264, -144.3318194479282, -141.10480325420025, -45.66818055207179, -48.895196745799765]"
36,6381.695920940811,6384.6906881847935,6381.695920940811,7414.387273658941,40.40583685076056,32.160200119018555,15,999,1,[ 1.08023085  0.53101083 55.65530194 58.97391953],"[-0.006083526446638565, -5.9248356573782246e-05, -0.5745251609478146, -181.0260804670156, -6381.695920940811, -1.0177308538811674, -0.4685108288604807, -5.107269146118833, -5.656489171139519, -144.34469806038712, -141.0260804670156, -45.65530193961288, -48.97391953298441]"
14,6383.222175587919,6392.072222335402,6383.222175587919,8791.313863218673,102.85492895443426,32.70072555541992,19,999,1,[ 1.09142614  0.53089711 55.63772834 59.08153199],"[-0.017617983511697632, -0.0001131806732663776, -0.9171341061592102, -180.91846800522853, -6383.222175587919, -1.0289261404023138, -0.46839710900158127, -5.096073859597686, -5.6566028909984185, -144.36227166369866, -140.91846800522853, -45.63772833630135, -49.08153199477148]"
28,6394.303593428644,6418.604095585112,6394.303593428644,14533.062018278804,378.09280127305726,31.21272301673889,12,998,2,[ 1.08681969  0.53029524 55.5104201  59.8631701 ],"[-0.015468585894558684, -0.0007258333635835612, -0.2307675094343722, -180.1368299035641, -6394.303593428644, -1.0243196938225887, -0.46779524111660975, -5.100680306177411, -5.65720475888339, -144.4895799001021, -140.1368299035641, -45.51042009989792, -49.8631700964359]"
12,6656.0689159866215,6659.383311024108,6656.0689159866215,8509.600134380573,62.67141466390138,28.09849500656128,9,999,1,[ 1.09330758  0.54797254 56.62137145 53.1799208 ],"[-0.0005151159835841135, -0.007804658570200407, -0.2864510442595929, -186.82007920044475, -6656.0689159866215, -1.0308075848755374, -0.48547254215720725, -5.094192415124462, -5.639527457842792, -143.3786285548211, -146.82007920044475, -46.621371445178916, -43.179920799555234]"
45,6720.536670087772,6722.406534367927,6720.536670087772,7566.405066472241,32.99928884195705,30.164193153381348,8,1000,0,[ 1.15275455  0.59342989 59.68674975 36.21522635],"[-0.0008002831517346376, -0.02401829628515595, -0.4086929301265627, -203.78477365353697, -6720.536670087772, -1.0902545532736376, -0.53092988887391, -5.034745446726363, -5.59407011112609, -140.31325025275115, -163.78477365353697, -49.686749747248854, -26.215226346463027]"
